val/loss,val/acc,val/auroc,epoch,step,train/loss,train/acc,train/auroc
0.6099810004234314,0.6476008296012878,0.6339478492736816,0,359,,,
,,,0,359,0.683570146560669,0.5793362855911255,0.6142503023147583
0.7312279343605042,0.5695410370826721,0.6332060098648071,1,719,,,
,,,1,719,0.6895034909248352,0.5714906454086304,0.604534924030304
0.6629648804664612,0.5880563259124756,0.6222845911979675,2,1079,,,
,,,2,1079,0.6792618632316589,0.5781192183494568,0.6144179701805115
0.7048190236091614,0.5310326814651489,0.6346810460090637,3,1439,,,
,,,3,1439,0.6809794902801514,0.5777280330657959,0.6151852607727051
0.7062780261039734,0.5757997035980225,0.6308595538139343,4,1799,,,
,,,4,1799,0.6858512163162231,0.5737291574478149,0.6084163188934326
0.6965089440345764,0.5183414220809937,0.6329773664474487,5,2159,,,
,,,5,2159,0.6813268661499023,0.5761415362358093,0.6123242378234863
0.7109552621841431,0.59535813331604,0.6113531589508057,6,2519,,,
,,,6,2519,0.6823335289955139,0.5769891142845154,0.6118619441986084
0.6595600843429565,0.5992698073387146,0.6019810438156128,7,2879,,,
,,,7,2879,0.6877897381782532,0.5700562596321106,0.6067190766334534
0.5982834696769714,0.6841968297958374,0.633322536945343,8,3239,,,
,,,8,3239,0.6869711875915527,0.5738161206245422,0.6072521209716797
0.6991334557533264,0.5694540739059448,0.6335429549217224,9,3599,,,
,,,9,3599,0.6852465867996216,0.571251630783081,0.6059567928314209
