val/loss,val/acc,val/auroc,epoch,step,train/loss,train/acc,train/auroc
0.8873029947280884,0.5252562165260315,0.5871161818504333,0,85,,,
,,,0,85,1.0563249588012695,0.5490070581436157,0.5622620582580566
1.0700080394744873,0.5567349791526794,0.5625185370445251,1,171,,,
,,,1,171,0.7629500031471252,0.5649309158325195,0.5914660692214966
0.7700340151786804,0.5344070196151733,0.5847414135932922,2,257,,,
,,,2,257,0.7607055306434631,0.5595314502716064,0.5825203657150269
0.6631194353103638,0.6116397976875305,0.6391175985336304,3,343,,,
,,,3,343,0.6973522901535034,0.5803971886634827,0.608600378036499
0.7067388892173767,0.5823572278022766,0.6455172300338745,4,429,,,
,,,4,429,0.709039568901062,0.5784753561019897,0.6052347421646118
0.6646363139152527,0.6149340867996216,0.6450483798980713,5,515,,,
,,,5,515,0.6721655130386353,0.6011714339256287,0.646100640296936
0.6700694561004639,0.6196925044059753,0.6408587098121643,6,601,,,
,,,6,601,0.6713342666625977,0.6017205119132996,0.6438005566596985
0.7336875200271606,0.5311127305030823,0.6075389981269836,7,687,,,
,,,7,687,0.6650700569152832,0.6111466884613037,0.6544371843338013
0.9246417880058289,0.4791361689567566,0.6177942156791687,8,773,,,
,,,8,773,0.6666795611381531,0.6064793467521667,0.6540049314498901
0.6325945258140564,0.6218886971473694,0.6797146797180176,9,859,,,
,,,9,859,0.6890009045600891,0.5962294936180115,0.6339240074157715
0.6510781645774841,0.6314055919647217,0.6732105612754822,10,945,,,
,,,10,945,0.6581338047981262,0.6285347938537598,0.6719189882278442
0.7143422961235046,0.6017569303512573,0.660326361656189,11,1031,,,
,,,11,1031,0.6559166312217712,0.6171867847442627,0.666508674621582
0.62446528673172,0.6387262344360352,0.6983994245529175,12,1117,,,
,,,12,1117,0.6486043930053711,0.6269790530204773,0.6755248308181763
0.6594685316085815,0.631039559841156,0.6780089139938354,13,1203,,,
,,,13,1203,0.6396304368972778,0.6297245621681213,0.6882839202880859
0.6545827388763428,0.6303074955940247,0.6932002305984497,14,1289,,,
,,,14,1289,0.6393047571182251,0.6259723901748657,0.6859958171844482
0.66115403175354,0.6138359904289246,0.6865625381469727,15,1375,,,
,,,15,1375,0.6309105157852173,0.6451908349990845,0.7004198431968689
0.6958853006362915,0.620058536529541,0.6833417415618896,16,1461,,,
,,,16,1461,0.6332952380180359,0.6401574015617371,0.6973462104797363
0.6382412314414978,0.6339678168296814,0.6819791793823242,17,1547,,,
,,,17,1547,0.6455807685852051,0.631463348865509,0.6914074420928955
