val/loss,val/acc,val/auroc,epoch,step,train/loss,train/acc,train/auroc
0.7398468852043152,0.5816251635551453,0.6538534760475159,0,85,,,
,,,0,85,0.8358873724937439,0.5902809500694275,0.6138854026794434
0.6682280898094177,0.6420205235481262,0.6850400567054749,1,171,,,
,,,1,171,0.6418338418006897,0.6398828625679016,0.6909792423248291
0.6562614440917969,0.632137656211853,0.691163957118988,2,257,,,
,,,2,257,0.661742091178894,0.6317378878593445,0.6875748634338379
0.6375745534896851,0.6599560976028442,0.7140065431594849,3,343,,,
,,,3,343,0.6309815049171448,0.6547085046768188,0.7099667191505432
0.652920126914978,0.6398243308067322,0.7165294885635376,4,429,,,
,,,4,429,0.6338710784912109,0.653518795967102,0.712340235710144
0.6389083862304688,0.6570278406143188,0.7102508544921875,5,515,,,
,,,5,515,0.6037470102310181,0.6773130893707275,0.7394875288009644
0.6489110589027405,0.6577599048614502,0.7129136323928833,6,601,,,
,,,6,601,0.5949519872665405,0.6769469976425171,0.7457188367843628
0.6130102872848511,0.6409224271774292,0.714565634727478,7,687,,,
,,,7,687,0.5929747223854065,0.6798755526542664,0.7474559545516968
0.6661391854286194,0.6460468769073486,0.7225465774536133,8,773,,,
,,,8,773,0.6001720428466797,0.6683444380760193,0.7373758554458618
0.6153727173805237,0.6661786437034607,0.7308574914932251,9,859,,,
,,,9,859,0.5960497260093689,0.6813398003578186,0.7503986358642578
0.5858704447746277,0.6775256395339966,0.7522145509719849,10,945,,,
,,,10,945,0.5829458832740784,0.6837192177772522,0.7575882077217102
0.5995359420776367,0.6727672219276428,0.7534322738647461,11,1031,,,
,,,11,1031,0.574770987033844,0.6890271902084351,0.7655289173126221
0.6334390640258789,0.6559297442436218,0.7415007948875427,12,1117,,,
,,,12,1117,0.5633734464645386,0.6999176144599915,0.7773645520210266
0.6408628225326538,0.6716691255569458,0.7335962653160095,13,1203,,,
,,,13,1203,0.5653804540634155,0.7015649080276489,0.7763378620147705
0.6746681928634644,0.6570278406143188,0.7301324009895325,14,1289,,,
,,,14,1289,0.5675243735313416,0.6964399814605713,0.7744452953338623
0.6085653901100159,0.6767935752868652,0.7498598098754883,15,1375,,,
,,,15,1375,0.5715824365615845,0.6925963163375854,0.7690118551254272
0.596061110496521,0.6702049970626831,0.7615617513656616,16,1461,,,
,,,16,1461,0.5499352216720581,0.7125468850135803,0.7902287244796753
0.6086723804473877,0.6797218322753906,0.7447015047073364,17,1547,,,
,,,17,1547,0.5422425866127014,0.7153838872909546,0.7963879704475403
0.6156588792800903,0.6713030934333801,0.755393385887146,18,1633,,,
,,,18,1633,0.5409447550773621,0.709801435470581,0.7954702377319336
0.6055877208709717,0.6841142177581787,0.751676619052887,19,1719,,,
,,,19,1719,0.5417270064353943,0.7078795433044434,0.7926404476165771
0.5861393213272095,0.6811859607696533,0.7623186111450195,20,1805,,,
,,,20,1805,0.5247284770011902,0.7273725867271423,0.8108718395233154
0.6562777161598206,0.6687408685684204,0.7563161849975586,21,1891,,,
,,,21,1891,0.533630907535553,0.7194106578826904,0.801515519618988
0.5907754302024841,0.7075402736663818,0.7727542519569397,22,1977,,,
,,,22,1977,0.5314375758171082,0.7195936441421509,0.8035718202590942
0.6085535287857056,0.6767935752868652,0.7590435147285461,23,2063,,,
,,,23,2063,0.5240583419799805,0.7193191051483154,0.8100457191467285
0.6490865349769592,0.6643484830856323,0.7706453204154968,24,2149,,,
,,,24,2149,0.5199316143989563,0.7286537885665894,0.8142803907394409
0.5960639119148254,0.6830161213874817,0.770913302898407,25,2235,,,
,,,25,2235,0.5119841694831848,0.7266404032707214,0.8178811073303223
0.5972151756286621,0.6870424747467041,0.7637532949447632,26,2321,,,
,,,26,2321,0.5085642337799072,0.731124758720398,0.8230294585227966
0.6109273433685303,0.6863104104995728,0.778014063835144,27,2407,,,
,,,27,2407,0.5123850107192993,0.7332296371459961,0.8200588226318359
0.5816192030906677,0.6874085068702698,0.7757884860038757,28,2493,,,
,,,28,2493,0.49941393733024597,0.7370733022689819,0.8288673162460327
0.5952067375183105,0.6877745389938354,0.7713944315910339,29,2579,,,
,,,29,2579,0.49791017174720764,0.7379884719848633,0.8313025236129761
0.617404043674469,0.6892386674880981,0.7719123959541321,30,2665,,,
,,,30,2665,0.49719253182411194,0.7439370155334473,0.8317949771881104
0.5994966626167297,0.6921669244766235,0.772230863571167,31,2751,,,
,,,31,2751,0.48705950379371643,0.7449437379837036,0.8390147686004639
0.6114375591278076,0.6903367638587952,0.777868926525116,32,2837,,,
,,,32,2837,0.4805419147014618,0.7492449879646301,0.8416503667831421
