val/loss,val/acc,val/auroc,epoch,step,train/loss,train/acc,train/auroc
0.6588035821914673,0.5772327780723572,0.6501542329788208,0,85,,,
,,,0,85,0.8158649802207947,0.5603953003883362,0.5803845524787903
0.6741000413894653,0.6149340867996216,0.6830981373786926,1,171,,,
,,,1,171,0.6724293231964111,0.6075219511985779,0.6525387763977051
0.8169698715209961,0.5754026174545288,0.6649057865142822,2,257,,,
,,,2,257,0.6523049473762512,0.6282027959823608,0.6773399710655212
0.6193889379501343,0.6650805473327637,0.7117066383361816,3,343,,,
,,,3,343,0.6389867067337036,0.6349743604660034,0.6925961375236511
0.6268401145935059,0.6401903629302979,0.7025995254516602,4,429,,,
,,,4,429,0.6412276029586792,0.6377196311950684,0.6914660334587097
0.5926657915115356,0.6753294467926025,0.7424709796905518,5,515,,,
,,,5,515,0.6227329969406128,0.6453148126602173,0.7098608016967773
0.6205743551254272,0.6445827484130859,0.7220185995101929,6,601,,,
,,,6,601,0.6051614880561829,0.6662701368331909,0.7306637763977051
0.5952245593070984,0.6694729328155518,0.7384195923805237,7,687,,,
,,,7,687,0.6006311774253845,0.6680088043212891,0.7339709401130676
0.6526854038238525,0.6603221297264099,0.7289988994598389,8,773,,,
,,,8,773,0.5958184003829956,0.6753294467926025,0.7432495355606079
0.6654441356658936,0.6255490779876709,0.7146382927894592,9,859,,,
,,,9,859,0.6095103621482849,0.6566618084907532,0.7287082672119141
0.5891828536987305,0.6797218322753906,0.7484185695648193,10,945,,,
,,,10,945,0.5891287922859192,0.6772511005401611,0.7479530572891235
0.6280099153518677,0.6654465794563293,0.7321102619171143,11,1031,,,
,,,11,1031,0.5810701847076416,0.6778001189231873,0.756459653377533
0.5864815711975098,0.6800878643989563,0.7495740056037903,12,1117,,,
,,,12,1117,0.585232138633728,0.6763359904289246,0.7510111331939697
0.5783945322036743,0.6903367638587952,0.7666171789169312,13,1203,,,
,,,13,1203,0.5766832828521729,0.6939970850944519,0.763358473777771
0.6002570986747742,0.6778916716575623,0.7567729949951172,14,1289,,,
,,,14,1289,0.5713939666748047,0.6907942891120911,0.7658272981643677
0.6057406663894653,0.6544656157493591,0.7430078983306885,15,1375,,,
,,,15,1375,0.5685093998908997,0.6918923854827881,0.769736647605896
0.6054102182388306,0.6734992861747742,0.7443926334381104,16,1461,,,
,,,16,1461,0.5691402554512024,0.6937225461006165,0.7700209021568298
0.5756283402442932,0.6855783462524414,0.7651410698890686,17,1547,,,
,,,17,1547,0.5572580099105835,0.7002196311950684,0.7800053358078003
0.5846304893493652,0.6819180250167847,0.756190836429596,18,1633,,,
,,,18,1633,0.5562289357185364,0.7002196311950684,0.7821167707443237
