val/loss,val/acc,val/auroc,epoch,step,train/loss,train/acc,train/auroc
0.8296824097633362,0.45058566331863403,0.5074052810668945,0,85,,,
,,,0,85,0.7075769901275635,0.5019676089286804,0.506963849067688
0.7630873322486877,0.4428989887237549,0.5078085064888,1,171,,,
,,,1,171,0.710526168346405,0.4975748062133789,0.49542057514190674
0.7078997492790222,0.5790629386901855,0.4926808774471283,2,257,,,
,,,2,257,0.7245594263076782,0.49858149886131287,0.5007432699203491
0.7223806381225586,0.4791361689567566,0.49999287724494934,3,343,,,
,,,3,343,0.7017114162445068,0.4988560378551483,0.4984303414821625
0.6907438039779663,0.5761346817016602,0.48254725337028503,4,429,,,
,,,4,429,0.7020328640937805,0.497025728225708,0.5011165738105774
0.7952117919921875,0.42386528849601746,0.5235341191291809,5,515,,,
,,,5,515,0.700717031955719,0.500228762626648,0.5035726428031921
0.7464435696601868,0.5761346817016602,0.47854548692703247,6,601,,,
,,,6,601,0.7054962515830994,0.5092889070510864,0.5062137246131897
0.7215301394462585,0.5183016061782837,0.5047745108604431,7,687,,,
,,,7,687,0.7080311179161072,0.4957444965839386,0.49373355507850647
0.7218064665794373,0.4249633848667145,0.5074079632759094,8,773,,,
,,,8,773,0.7145488858222961,0.5058112740516663,0.5061863660812378
0.7428086996078491,0.5775988101959229,0.49181514978408813,9,859,,,
,,,9,859,0.7043442726135254,0.5036149024963379,0.5031976699829102
0.7098253965377808,0.44472914934158325,0.5072088241577148,10,945,,,
,,,10,945,0.6990593075752258,0.4938226342201233,0.49844563007354736
