val/loss,val/acc,val/auroc,epoch,step,train/loss,train/acc,train/auroc
0.7656944990158081,0.6262811422348022,0.667768120765686,0,85,,,
,,,0,85,0.6937379240989685,0.5911419987678528,0.6297395825386047
0.6514654755592346,0.6412884593009949,0.7074629068374634,1,171,,,
,,,1,171,0.6546980142593384,0.6260066032409668,0.6734442114830017
0.5971064567565918,0.6680088043212891,0.7385128736495972,2,257,,,
,,,2,257,0.6388517022132874,0.6446742415428162,0.6950592994689941
0.6607846617698669,0.6248169541358948,0.7010948657989502,3,343,,,
,,,3,343,0.6282907724380493,0.6520863771438599,0.7082306146621704
0.6930404901504517,0.6270132064819336,0.6842780113220215,4,429,,,
,,,4,429,0.6184750199317932,0.6604136228561401,0.7196367979049683
0.6386414766311646,0.6486091017723083,0.7384500503540039,5,515,,,
,,,5,515,0.6238679885864258,0.6550146341323853,0.7155355215072632
0.6226401925086975,0.6548316478729248,0.7443923950195312,6,601,,,
,,,6,601,0.6070519089698792,0.6644399762153625,0.7334438562393188
0.6070964336395264,0.6639824509620667,0.7392211556434631,7,687,,,
,,,7,687,0.606303334236145,0.674414336681366,0.7388817071914673
0.5800524950027466,0.6771596074104309,0.7573665976524353,8,773,,,
,,,8,773,0.5877923965454102,0.6757869720458984,0.7501145601272583
0.6224722862243652,0.6844802498817444,0.7473627328872681,9,859,,,
,,,9,859,0.5880542993545532,0.6863104104995728,0.7544456720352173
0.6130860447883606,0.6610541939735413,0.7475676536560059,10,945,,,
,,,10,945,0.5655112266540527,0.6939055919647217,0.7734586596488953
0.5710011124610901,0.680453896522522,0.7713137865066528,11,1031,,,
,,,11,1031,0.5791009068489075,0.683656632900238,0.761337161064148
0.5860658288002014,0.6830161213874817,0.7634817361831665,12,1117,,,
,,,12,1117,0.5601204037666321,0.7007686495780945,0.7791081666946411
0.5899379253387451,0.6866764426231384,0.7690256834030151,13,1203,,,
,,,13,1203,0.5579420924186707,0.7044289708137512,0.7817661762237549
0.5587599873542786,0.7079063057899475,0.7929365038871765,14,1289,,,
,,,14,1289,0.5456183552742004,0.7072657346725464,0.7918772101402283
0.5779908895492554,0.6976574063301086,0.7814159393310547,15,1375,,,
,,,15,1375,0.5228912830352783,0.7234626412391663,0.811059832572937
0.5746884942054749,0.69838947057724,0.7825696468353271,16,1461,,,
,,,16,1461,0.5328816175460815,0.7112920880317688,0.8028131127357483
0.5816001296043396,0.6987555027008057,0.7866227626800537,17,1547,,,
,,,17,1547,0.5237523913383484,0.7229136228561401,0.8098186254501343
0.5741874575614929,0.6991215348243713,0.7981137037277222,18,1633,,,
,,,18,1633,0.5163989663124084,0.7304172515869141,0.8169040083885193
0.581926167011261,0.6921669244766235,0.7695263624191284,19,1719,,,
,,,19,1719,0.5138325095176697,0.7376464009284973,0.8210207223892212
0.5978010892868042,0.7093704342842102,0.7893651127815247,20,1805,,,
,,,20,1805,0.49058517813682556,0.7475292682647705,0.8384574055671692
0.5552499294281006,0.7229136228561401,0.8001757860183716,21,1891,,,
,,,21,1891,0.4881008565425873,0.7563140392303467,0.8414893746376038
0.6298173069953918,0.6687408685684204,0.7409268617630005,22,1977,,,
,,,22,1977,0.4935661852359772,0.7510066032409668,0.8370571136474609
0.5750188827514648,0.7060761451721191,0.7948606014251709,23,2063,,,
,,,23,2063,0.4912742078304291,0.7542093992233276,0.8397225737571716
0.5164267420768738,0.7426793575286865,0.8259546756744385,24,2149,,,
,,,24,2149,0.47753477096557617,0.7588762640953064,0.8481733798980713
0.5710226893424988,0.7108345627784729,0.8006964325904846,25,2235,,,
,,,25,2235,0.46104007959365845,0.7761713266372681,0.8619085550308228
0.5643104910850525,0.7258418798446655,0.803026556968689,26,2321,,,
,,,26,2321,0.47348758578300476,0.761987566947937,0.8506313562393188
0.5363120436668396,0.7357247471809387,0.8173056840896606,27,2407,,,
,,,27,2407,0.46062374114990234,0.7660139203071594,0.8586578369140625
0.5680829286575317,0.7144948840141296,0.8082336187362671,28,2493,,,
,,,28,2493,0.44345399737358093,0.7815702557563782,0.871376097202301
0.5279742479324341,0.7529282569885254,0.8252732753753662,29,2579,,,
,,,29,2579,0.4594651162624359,0.7700402736663818,0.8602279424667358
