val/loss,val/acc,val/auroc,epoch,step,train/loss,train/acc,train/auroc
0.7584795355796814,0.5986574292182922,0.6854384541511536,0,437,,,
,,,0,437,1.8529738187789917,0.5980967879295349,0.6308966875076294
0.6805624961853027,0.6326501369476318,0.7498980760574341,1,875,,,
,,,1,875,0.8598744869232178,0.6348217129707336,0.678560733795166
0.907366156578064,0.4396914839744568,0.7157134413719177,2,1313,,,
,,,2,1313,0.6561381816864014,0.6697434186935425,0.7276511192321777
0.7451145648956299,0.5529529452323914,0.7718231678009033,3,1751,,,
,,,3,1751,0.601163923740387,0.6925603747367859,0.7570174336433411
0.7662962675094604,0.598228931427002,0.7826801538467407,4,2189,,,
,,,4,2189,0.5668429136276245,0.7186266779899597,0.784976601600647
0.5676015019416809,0.6914947032928467,0.7985737323760986,5,2627,,,
,,,5,2627,0.5616797208786011,0.7196264863014221,0.789393424987793
0.5194110870361328,0.752838671207428,0.7979246377944946,6,3065,,,
,,,6,3065,0.5461088418960571,0.7328917384147644,0.8017114400863647
0.4994395077228546,0.7355566620826721,0.8321009874343872,7,3503,,,
,,,7,3503,0.5356510281562805,0.7369087934494019,0.8094815015792847
0.3469853699207306,0.8581732511520386,0.7913446426391602,8,3941,,,
,,,8,3941,0.5285484790802002,0.7429969310760498,0.8155048489570618
0.4746270179748535,0.781903862953186,0.8015704154968262,9,4379,,,
,,,9,4379,0.5243426561355591,0.746710479259491,0.8189069032669067
0.4285004138946533,0.7874026894569397,0.8281784653663635,10,4817,,,
,,,10,4817,0.4973767399787903,0.7612790465354919,0.8375942707061768
0.5433138012886047,0.7481968402862549,0.8528186082839966,11,5255,,,
,,,11,5255,0.4885737895965576,0.7680277228355408,0.844133734703064
0.4781782329082489,0.777190625667572,0.8513951301574707,12,5693,,,
,,,12,5693,0.4755992293357849,0.7763118147850037,0.8531153202056885
0.9953720569610596,0.4406198561191559,0.8458024263381958,13,6131,,,
,,,13,6131,0.48017367720603943,0.7750799059867859,0.8506594896316528
0.3287844657897949,0.855959415435791,0.8610767126083374,14,6569,,,
,,,14,6569,0.47224161028862,0.7786506414413452,0.8570569753646851
1.0319634675979614,0.5468114018440247,0.8353434801101685,15,7007,,,
,,,15,7007,0.45807087421417236,0.7885236740112305,0.8669844269752502
0.687522292137146,0.6758551597595215,0.8728958368301392,16,7445,,,
,,,16,7445,0.4518604278564453,0.7927014231681824,0.8711331486701965
0.4385196268558502,0.7896879315376282,0.8698077201843262,17,7883,,,
,,,17,7883,0.44030001759529114,0.8016104102134705,0.8783499598503113
0.34231364727020264,0.8404627442359924,0.8828325271606445,18,8321,,,
,,,18,8321,0.438351571559906,0.8035028576850891,0.880155086517334
0.3324117064476013,0.850532054901123,0.8782333135604858,19,8759,,,
,,,19,8759,0.42928439378738403,0.8100551962852478,0.8867127895355225
0.4316237270832062,0.7992572784423828,0.8837587833404541,20,9197,,,
,,,20,9197,0.3973226249217987,0.8240880966186523,0.9010462760925293
0.5884232521057129,0.7372705936431885,0.9000297784805298,21,9635,,,
,,,21,9635,0.38178396224975586,0.8317294716835022,0.9093177914619446
0.5963410139083862,0.7177747488021851,0.8751629590988159,22,10073,,,
,,,22,10073,0.37399840354919434,0.8357822299003601,0.9133719205856323
0.3225100338459015,0.8556737899780273,0.9068326950073242,23,10511,,,
,,,23,10511,0.3681836426258087,0.8406562805175781,0.9164935350418091
0.30704617500305176,0.8736699223518372,0.9066192507743835,24,10949,,,
,,,24,10949,0.35608968138694763,0.8467444181442261,0.9218834042549133
0.7922080159187317,0.6660001277923584,0.8772134780883789,25,11387,,,
,,,25,11387,0.3426176607608795,0.854832112789154,0.9281587600708008
0.26797252893447876,0.8888809680938721,0.9130305051803589,26,11825,,,
,,,26,11825,0.356984943151474,0.8486547470092773,0.9229109883308411
0.3012590706348419,0.8772405982017517,0.9089488983154297,27,12263,,,
,,,27,12263,0.3316224217414856,0.8575279712677002,0.9324829578399658
0.38977646827697754,0.8288223743438721,0.9200750589370728,28,12701,,,
,,,28,12701,0.32884374260902405,0.8619378209114075,0.9341593384742737
0.4547087252140045,0.8074698448181152,0.9246722459793091,29,13139,,,
,,,29,13139,0.32958588004112244,0.8612415194511414,0.9340291023254395
0.423103928565979,0.8188245296478271,0.9242589473724365,30,13577,,,
,,,30,13577,0.29270872473716736,0.8786488175392151,0.9471606016159058
0.2538023293018341,0.9007355570793152,0.9269477128982544,31,14015,,,
,,,31,14015,0.2903309166431427,0.8782917857170105,0.9482626914978027
0.2667520046234131,0.896165132522583,0.9224318265914917,32,14453,,,
,,,32,14453,0.2879268527030945,0.8810412287712097,0.949104905128479
0.30922284722328186,0.8660287261009216,0.9288331270217896,33,14891,,,
,,,33,14891,0.27666959166526794,0.8852725625038147,0.9529879093170166
0.3255876302719116,0.8664571642875671,0.9237760305404663,34,15329,,,
,,,34,15329,0.2731954753398895,0.887825608253479,0.9543694257736206
0.49832049012184143,0.8067557215690613,0.9291644096374512,35,15767,,,
,,,35,15767,0.2647717595100403,0.8905572295188904,0.9570918083190918
0.2897647023200989,0.8842390775680542,0.9263105392456055,36,16205,,,
,,,36,16205,0.27137014269828796,0.8888432383537292,0.9551733136177063
0.6626873016357422,0.7581232786178589,0.925876796245575,37,16643,,,
,,,37,16643,0.2563881278038025,0.8946278691291809,0.9591836929321289
0.38610324263572693,0.8429622054100037,0.935188889503479,38,17081,,,
,,,38,17081,0.25768598914146423,0.8956454992294312,0.9591619372367859
0.2547720968723297,0.902877926826477,0.9315123558044434,39,17519,,,
,,,39,17519,0.25531354546546936,0.8967702984809875,0.9601060152053833
0.3778023421764374,0.8581018447875977,0.9381368160247803,40,17957,,,
,,,40,17957,0.22531968355178833,0.9089643359184265,0.9679883122444153
0.35218071937561035,0.8629579544067383,0.9287863969802856,41,18395,,,
,,,41,18395,0.22490765154361725,0.9090535640716553,0.9684417843818665
0.4158690571784973,0.8448189496994019,0.9377174973487854,42,18833,,,
,,,42,18833,0.2438352406024933,0.9017871618270874,0.9637541174888611
0.33615848422050476,0.8735985159873962,0.9337664246559143,43,19271,,,
,,,43,19271,0.22179222106933594,0.912017285823822,0.9694870710372925
0.38719117641448975,0.8560308218002319,0.9349575042724609,44,19709,,,
,,,44,19709,0.20987509191036224,0.9162843227386475,0.972220778465271
0.34729519486427307,0.8774548172950745,0.936418890953064,45,20147,,,
,,,45,20147,0.20137600600719452,0.9188195466995239,0.9743205308914185
