val/loss,val/acc,val/auroc,epoch,step,train/loss,train/acc,train/auroc
0.7074533104896545,0.7135613560676575,0.8071457743644714,0,437,,,
,,,0,437,0.6298590302467346,0.689275324344635,0.7519699335098267
0.5884923934936523,0.6811397671699524,0.8352868556976318,1,875,,,
,,,1,875,0.543678879737854,0.740158200263977,0.8096115589141846
0.5560376644134521,0.7107762694358826,0.8298012018203735,2,1313,,,
,,,2,1313,0.5096413493156433,0.7615289688110352,0.8364086151123047
0.5175070762634277,0.7666928768157959,0.8431499600410461,3,1751,,,
,,,3,1751,0.4868939518928528,0.7781150341033936,0.8520903587341309
0.5221447944641113,0.7538384795188904,0.8635210990905762,4,2189,,,
,,,4,2189,0.4570901691913605,0.7911481857299805,0.8683956861495972
0.45208939909935,0.807041347026825,0.8766454458236694,5,2627,,,
,,,5,2627,0.44053906202316284,0.7988787889480591,0.8776991367340088
0.4765048325061798,0.7669070959091187,0.8868707418441772,6,3065,,,
,,,6,3065,0.4114682078361511,0.8158040642738342,0.8924471139907837
0.45968300104141235,0.7841176986694336,0.8914259672164917,7,3503,,,
,,,7,3503,0.3881082534790039,0.8288907408714294,0.90492182970047
0.42367449402809143,0.806327223777771,0.8973575234413147,8,3941,,,
,,,8,3941,0.3850207030773163,0.8318365812301636,0.9087976217269897
0.39020681381225586,0.8365350365638733,0.9061159491539001,9,4379,,,
,,,9,4379,0.3506719172000885,0.8497616648674011,0.9234749674797058
0.4235150218009949,0.8094694018363953,0.9101582765579224,10,4817,,,
,,,10,4817,0.31334394216537476,0.8700433969497681,0.9387875199317932
0.4065368175506592,0.8562451004981995,0.9158085584640503,11,5255,,,
,,,11,5255,0.2981436550617218,0.8760243654251099,0.9441400766372681
0.4113210141658783,0.8206812739372253,0.9121172428131104,12,5693,,,
,,,12,5693,0.2850245535373688,0.8833978772163391,0.9490693807601929
0.43938305974006653,0.8443190455436707,0.9186094403266907,13,6131,,,
,,,13,6131,0.2703632712364197,0.8902537226676941,0.9539223909378052
0.32834336161613464,0.8637434840202332,0.9282341003417969,14,6569,,,
,,,14,6569,0.2610783576965332,0.8955383896827698,0.9570830464363098
0.3460233807563782,0.8599585890769958,0.9299097061157227,15,7007,,,
,,,15,7007,0.24491094052791595,0.9001624584197998,0.9616253972053528
0.33672043681144714,0.8650289177894592,0.9331469535827637,16,7445,,,
,,,16,7445,0.23555240035057068,0.9067683219909668,0.9648951292037964
0.6782802939414978,0.8808112740516663,0.9301465749740601,17,7883,,,
,,,17,7883,0.22420953214168549,0.9126421809196472,0.9677606821060181
0.34630274772644043,0.8635292649269104,0.9311252236366272,18,8321,,,
,,,18,8321,0.21112966537475586,0.9174090623855591,0.971335768699646
0.31143683195114136,0.8766692876815796,0.9329771995544434,19,8759,,,
,,,19,8759,0.20810948312282562,0.9184445738792419,0.9719161987304688
0.4026004374027252,0.8849532008171082,0.9360689520835876,20,9197,,,
,,,20,9197,0.17586570978164673,0.9323168396949768,0.9794840216636658
0.43279314041137695,0.8924516439437866,0.9386404752731323,21,9635,,,
,,,21,9635,0.16951678693294525,0.9362982511520386,0.980739951133728
0.40706926584243774,0.8898093104362488,0.9356468915939331,22,10073,,,
,,,22,10073,0.1613968014717102,0.9374229907989502,0.9824577569961548
0.44013577699661255,0.8848817944526672,0.9338082075119019,23,10511,,,
,,,23,10511,0.15702973306179047,0.9404760003089905,0.9833931922912598
0.854317843914032,0.8938798904418945,0.9335577487945557,24,10949,,,
,,,24,10949,0.15217754244804382,0.941797137260437,0.9842336177825928
0.4435710608959198,0.8925230503082275,0.9375645518302917,25,11387,,,
,,,25,11387,0.14787189662456512,0.9439395666122437,0.9852422475814819
0.37242591381073,0.878311812877655,0.9354973435401917,26,11825,,,
,,,26,11825,0.13692286610603333,0.9485815167427063,0.9868752956390381
