val/loss,val/acc,val/auroc,epoch,step,train/loss,train/acc,train/auroc
0.6498194336891174,0.6196925044059753,0.6507012844085693,0,85,,,
,,,0,85,0.7478126883506775,0.5914706587791443,0.6218681335449219
0.7096116542816162,0.6123718619346619,0.6634801626205444,1,171,,,
,,,1,171,0.654433012008667,0.6310972571372986,0.6872186660766602
0.6956835985183716,0.6145680546760559,0.7123499512672424,2,257,,,
,,,2,257,0.6233235001564026,0.6634941101074219,0.72291100025177
0.583928644657135,0.6896046996116638,0.756142258644104,3,343,,,
,,,3,343,0.6308626532554626,0.6625789403915405,0.723625898361206
0.5880774855613708,0.6764275431632996,0.749765157699585,4,429,,,
,,,4,429,0.591677188873291,0.6804246306419373,0.7503025531768799
0.6108710169792175,0.6841142177581787,0.7388820648193359,5,515,,,
,,,5,515,0.5945084691047668,0.6883865594863892,0.7558504343032837
0.5854775905609131,0.6859443783760071,0.7738350629806519,6,601,,,
,,,6,601,0.5721884369850159,0.6952502727508545,0.769517183303833
0.5668397545814514,0.699487566947937,0.7881562113761902,7,687,,,
,,,7,687,0.5406081080436707,0.7108080983161926,0.7959897518157959
0.5594043135643005,0.714128851890564,0.795666515827179,8,773,,,
,,,8,773,0.5458838939666748,0.7148348093032837,0.7960221767425537
0.5649328231811523,0.6943631172180176,0.7939023971557617,9,859,,,
,,,9,859,0.5224018096923828,0.7271895408630371,0.8133174180984497
0.5854437947273254,0.6991215348243713,0.7726565599441528,10,945,,,
,,,10,945,0.5042924880981445,0.7374393939971924,0.8262938261032104
0.541027843952179,0.7159590125083923,0.8105952739715576,11,1031,,,
,,,11,1031,0.5028656721115112,0.7474146485328674,0.8313798308372498
0.5535919070243835,0.7155929803848267,0.8027760982513428,12,1117,,,
,,,12,1117,0.4964750111103058,0.7451267242431641,0.8339011073112488
0.5965030193328857,0.7166910767555237,0.7858288288116455,13,1203,,,
,,,13,1203,0.4776298701763153,0.7569323778152466,0.8493136763572693
0.5209904909133911,0.748901903629303,0.8227821588516235,14,1289,,,
,,,14,1289,0.47910135984420776,0.7626063823699951,0.8486999869346619
0.5619203448295593,0.7247437834739685,0.8145580291748047,15,1375,,,
,,,15,1375,0.46875378489494324,0.7670906782150269,0.8562771677970886
0.5783014893531799,0.7108345627784729,0.7910417318344116,16,1461,,,
,,,16,1461,0.4493476152420044,0.7734053134918213,0.8680501580238342
0.53001868724823,0.735358715057373,0.8228847980499268,17,1547,,,
,,,17,1547,0.445020467042923,0.775235652923584,0.8697998523712158
0.5290116667747498,0.735358715057373,0.8322457075119019,18,1633,,,
,,,18,1633,0.43396344780921936,0.7850279211997986,0.8767662048339844
0.5152485370635986,0.752196192741394,0.8375353813171387,19,1719,,,
,,,19,1719,0.4133870303630829,0.7991214394569397,0.8890401124954224
0.5328721404075623,0.7547584176063538,0.8356630802154541,20,1805,,,
,,,20,1805,0.40954679250717163,0.8023245334625244,0.8921642899513245
0.530685544013977,0.7595168352127075,0.8436719179153442,21,1891,,,
,,,21,1891,0.38773277401924133,0.815411388874054,0.9038718938827515
0.5338051319122314,0.7437774538993835,0.8407838344573975,22,1977,,,
,,,22,1977,0.38682064414024353,0.8144046664237976,0.9047653675079346
0.5801151394844055,0.7298682332038879,0.8193559646606445,23,2063,,,
,,,23,2063,0.3906380534172058,0.8090052008628845,0.9023025035858154
0.5250157713890076,0.7624450922012329,0.8438332080841064,24,2149,,,
,,,24,2149,0.36899039149284363,0.8229157328605652,0.9140392541885376
0.5417553186416626,0.7697657346725464,0.8496718406677246,25,2235,,,
,,,25,2235,0.35752958059310913,0.8296879529953003,0.9182499647140503
0.5342103838920593,0.7704977989196777,0.8449603319168091,26,2321,,,
,,,26,2321,0.34982070326805115,0.8319758176803589,0.9223445653915405
0.5559390783309937,0.7697657346725464,0.8430392742156982,27,2407,,,
,,,27,2407,0.3454558551311493,0.8372837901115417,0.9241594076156616
0.5353683829307556,0.7672035098075867,0.8497785329818726,28,2493,,,
,,,28,2493,0.34691834449768066,0.8400292992591858,0.9248389601707458
0.5365761518478394,0.7767203450202942,0.8537431955337524,29,2579,,,
,,,29,2579,0.33992838859558105,0.8407614231109619,0.9275079965591431
0.5398035645484924,0.7620790600776672,0.8501420021057129,30,2665,,,
,,,30,2665,0.31301984190940857,0.856776773929596,0.9385817050933838
0.5659638047218323,0.7693997025489807,0.8478862047195435,31,2751,,,
,,,31,2751,0.30773159861564636,0.8549464344978333,0.9404407739639282
0.5552586913108826,0.7741581201553345,0.8549115657806396,32,2837,,,
,,,32,2837,0.2957294285297394,0.860803484916687,0.9455069303512573
0.5763410925865173,0.7558565139770508,0.8539382815361023,33,2923,,,
,,,33,2923,0.28812819719314575,0.8673011660575867,0.9477200508117676
0.5873481631278992,0.7730600237846375,0.853622317314148,34,3009,,,
,,,34,3009,0.28286829590797424,0.8686739206314087,0.9500502943992615
0.5814288854598999,0.7734260559082031,0.8531147241592407,35,3095,,,
,,,35,3095,0.2810826599597931,0.8701381683349609,0.9508428573608398
0.5932133793830872,0.7712298631668091,0.8529400825500488,36,3181,,,
,,,36,3181,0.27837151288986206,0.8719685077667236,0.9515854716300964
0.5855788588523865,0.7774524092674255,0.8578150272369385,37,3267,,,
,,,37,3267,0.25536927580833435,0.8836826086044312,0.9594982862472534
0.6422765851020813,0.7624450922012329,0.8432908058166504,38,3353,,,
,,,38,3353,0.2671220004558563,0.8738903403282166,0.9554712772369385
0.6087017059326172,0.7807466983795166,0.8580096960067749,39,3439,,,
,,,39,3439,0.2621169984340668,0.8822183609008789,0.9571928977966309
0.6112518310546875,0.7866032123565674,0.8592191934585571,40,3525,,,
,,,40,3525,0.24716009199619293,0.8885329961776733,0.9620211124420166
0.6143204569816589,0.7811127305030823,0.8561542630195618,41,3611,,,
,,,41,3611,0.2372361421585083,0.8933833837509155,0.9649548530578613
0.613890528678894,0.7939238548278809,0.8596238493919373,42,3697,,,
,,,42,3697,0.23115892708301544,0.897684633731842,0.9669085741043091
0.6395682096481323,0.7833089232444763,0.8577664494514465,43,3783,,,
,,,43,3783,0.23503802716732025,0.8919190764427185,0.9655752182006836
0.6268036365509033,0.7781844735145569,0.8626224398612976,44,3869,,,
,,,44,3869,0.23554009199142456,0.8971355557441711,0.9657735824584961
0.6289823055267334,0.7759882807731628,0.8559849262237549,45,3955,,,
,,,45,3955,0.23314043879508972,0.8962203860282898,0.9660394191741943
0.6709723472595215,0.7818447947502136,0.8530149459838867,46,4041,,,
,,,46,4041,0.222459077835083,0.8997895121574402,0.9692967534065247
0.6687473654747009,0.7873352766036987,0.8559471368789673,47,4127,,,
,,,47,4127,0.22091998159885406,0.8997895121574402,0.9700700044631958
0.6832656264305115,0.7774524092674255,0.8478714227676392,48,4213,,,
,,,48,4213,0.21843209862709045,0.9025350213050842,0.9704891443252563
0.6252052783966064,0.798316240310669,0.8686892986297607,49,4299,,,
,,,49,4299,0.21574783325195312,0.9032671451568604,0.9709683656692505
